1,bgrup_1_dot_lstm_1,45.7,48,43.1,31.5,
2,bgrup_1_add_lstm_1,42.4,39.2,34.1,25.8,
3,bgrup_1_location_lstm_1,50.2,38.6,24.1,23,
4,bgrup_1_coverage_lstm_1,46.6,39.6,23.9,24.8,
5,bgrup_1_coverage_location_lstm_1,40.4,38.8,22.7,24.4,
6,bgrup_1_location2d_lstm_1,44.7,38.1,23.6,23.6,
7,bgrup_1_location_recurrent_lstm_1,44.1,40.9,24.7,24.9,
8,bgrup_1_multi_head_dot_lstm_1,47,41.5,25,26.6,
9,bgrup_1_multi_head_add_lstm_1,46.8,44.9,25,28.8,
10,bgrup_1_multi_head_loc_lstm_1,45.1,38.2,46.7,23.3,222
11,bgrup_1_multi_head_multi_res_loc_lstm_1,45.0,44.0,22.7,22.5,246
