1,blstmp_1_dot_gru_1,49.6,50,37.8,33.8,
2,blstmp_1_add_gru_1,49.6,46.3,27.5,30.9,
3,blstmp_1_location_gru_1,45.1,48.3,25.7,32.5,
4,blstmp_1_coverage_gru_1,43.8,41.4,25.9,26.6,
5,blstmp_1_coverage_location_gru_1,42.4,40,27.5,26,
6,blstmp_1_location2d_gru_1,42.6,34.4,25.4,22.1,
7,blstmp_1_location_recurrent_gru_1,45.1,40.8,31.8,27.1,
8,blstmp_1_multi_head_dot_gru_1,47.5,42.3,28.6,28.1,
9,blstmp_1_multi_head_add_gru_1,46.1,46.7,39.3,30.3,
10,blstmp_1_multi_head_loc_gru_1,45.7,40.4,25,25,217
11,blstmp_1_multi_head_multi_res_loc_gru_1,47.1,47.1,37.7,39.1,253
