1,vggbgrup_3_dot_lstm_3,37.2,34.7,35.7,21.2
2,vggbgrup_3_add_lstm_3,36.2,33.7,28.3,21.4
3,vggbgrup_3_location_lstm_3,36.5,33,27.6,20.5
4,vggbgrup_3_coverage_lstm_3,37.9,33.3,20.8,21.2
5,vggbgrup_3_coverage_location_lstm_3,36.1,21.4,20.3,20.6
6,vggbgrup_3_location2d_lstm_3,35.9,33.3,21,21.2
7,vggbgrup_3_location_recurrent_lstm_3,35.7,33.8,20.2,20.7
8,vggbgrup_3_multi_head_dot_lstm_3,37.2,0,21.2,0
9,vggbgrup_3_multi_head_add_lstm_3,38.1,40.3,21.6,25.0
10,vggbgrup_3_multi_head_loc_lstm_3,0,49.8,31.8,31.5
11,vggbgrup_3_multi_head_multi_res_loc_lstm_3,0,0,20.6,0
