1,vggblstmp_5_dot_gru_5,37.6,37.8,40.6,24.8
2,vggblstmp_5_add_gru_5,38.1,36.6,42.6,24
3,vggblstmp_5_location_gru_5,37.8,0,43.4,0
4,vggblstmp_5_coverage_gru_5,38.8,34.3,22.8,22.7
5,vggblstmp_5_coverage_location_gru_5,37.8,33,27.7,22.2
6,vggblstmp_5_location2d_gru_5,41.2,55.4,23.1,37.9
7,vggblstmp_5_location_recurrent_gru_5,39.1,49.6,23.3,33
8,vggblstmp_5_multi_head_dot_gru_5,38.7,47.4,28.4,31.3
9,vggblstmp_5_multi_head_add_gru_5,45.4,43.2,43.2,26.0
10,vggblstmp_5_multi_head_loc_gru_5,37.3,43.4,22.5,24.4
11,vggblstmp_5_multi_head_multi_res_loc_gru_5,0,0,37.1,0
