Experiment Number, Parameters, Grapheme Decoder CER,Phoneme+Grapheme Decoder CER, Phoneme Decoder PER, Phoneme+Grapheme Decoder PER
0,blstmp_1_dot_lstm_1,48.6,49.9,37.4,32.1
1,blstmp_1_dot_gru_1,49.6,50,37.8,33.8
2,blstmp_3_dot_lstm_3,39.3,35.8,28,22.9
3,blstmp_3_dot_gru_3,39.3,36.8,21.7,23.6
4,blstmp_5_dot_lstm_5,38.7,34.4,32.4,22.8
5,blstmp_5_dot_gru_5,37.8,36.8,23.4,24.4
6,bgrup_1_dot_lstm_1,45.7,48,43.1,31.5
7,bgrup_1_dot_gru_1,45.6,48.4,30.2,31.4
8,bgrup_3_dot_lstm_3,37.1,35.2,37.7,21.3
9,bgrup_3_dot_gru_3,36.2,34.9,21.8,21.6
10,bgrup_5_dot_lstm_5,36.7,33.5,31.4,21.8
11,bgrup_5_dot_gru_5,35.9,33.9,48.9,21.9
12,vggblstmp_1_dot_lstm_1,40.8,39.9,33.4,23.4
13,vggblstmp_1_dot_gru_1,43.1,43.9,23.7,27.6
14,vggblstmp_3_dot_lstm_3,37.9,34.3,31.9,22.1
15,vggblstmp_3_dot_gru_3,38.2,34.3,28.4,21.7
16,vggblstmp_5_dot_lstm_5,38.3,36.8,36.1,24.5
17,vggblstmp_5_dot_gru_5,37.6,37.8,40.6,24.8
18,vggbgrup_1_dot_lstm_1,41.1,38.6,29,22.5
19,vggbgrup_1_dot_gru_1,42.6,40,23.5,23.9
20,vggbgrup_3_dot_lstm_3,37.2,34.7,35.7,21.2
21,vggbgrup_3_dot_gru_3,36.6,35.2,21.2,21.6
22,vggbgrup_5_dot_lstm_5,41,34.6,30.8,22.9
23,vggbgrup_5_dot_gru_5,38.1,42.5,22.7,27.5
24,blstmp_1_add_lstm_1,45.4,41.2,28.2,27.1
25,blstmp_1_add_gru_1,49.6,46.3,27.5,30.9
26,blstmp_3_add_lstm_3,38.4,35,29.4,23
27,blstmp_3_add_gru_3,38.4,34.6,29.1,22.5
28,blstmp_5_add_lstm_5,36.5,41.5,22.8,27.1
29,blstmp_5_add_gru_5,40.1,34.6,22.3,22.5
30,bgrup_1_add_lstm_1,42.4,39.2,34.1,25.8
31,bgrup_1_add_gru_1,46.5,39,24.6,24.6
32,bgrup_3_add_lstm_3,36.4,33.2,22.2,20.6
33,bgrup_3_add_gru_3,35.6,33.5,21.1,20.7
34,bgrup_5_add_lstm_5,35.3,32.6,22.6,20.5
35,bgrup_5_add_gru_5,35.7,31.9,21,20.6
36,vggblstmp_1_add_lstm_1,41.7,39,25.5,23.5
37,vggblstmp_1_add_gru_1,42.3,38.2,22.8,22.7
38,vggblstmp_3_add_lstm_3,37.4,34.7,21.9,22.3
39,vggblstmp_3_add_gru_3,39.1,34.4,21.9,22.1
40,vggblstmp_5_add_lstm_5,38.1,35.9,44.3,24.2
41,vggblstmp_5_add_gru_5,38.1,36.6,42.6,24
42,vggbgrup_1_add_lstm_1,40.3,37.9,34.2,22.7
43,vggbgrup_1_add_gru_1,39.2,37.8,29.5,22
44,vggbgrup_3_add_lstm_3,36.2,33.7,28.3,21.4
45,vggbgrup_3_add_gru_3,36.7,33.1,21.5,21.5
46,vggbgrup_5_add_lstm_5,35.9,33.2,30.4,20.8
47,vggbgrup_5_add_gru_5,35.4,32.4,25.7,21.2
48,blstmp_1_location_lstm_1,46.6,40.8,25.3,25.6
49,blstmp_1_location_gru_1,45.1,48.3,25.7,32.5
50,blstmp_3_location_lstm_3,37.3,34.6,22.2,22.2
51,blstmp_3_location_gru_3,36.8,33.9,22.6,22.3
52,blstmp_5_location_lstm_5,37.2,34,22.6,22.2
53,blstmp_5_location_gru_5,36.2,33.5,22.5,21.7
54,bgrup_1_location_lstm_1,50.2,38.6,24.1,23
55,bgrup_1_location_gru_1,45,38.7,23.3,23.1
56,bgrup_3_location_lstm_3,35.8,33,20.5,20.2
57,bgrup_3_location_gru_3,35,32.5,20.5,20.5
58,bgrup_5_location_lstm_5,34.7,31.3,20.6,20.8
59,bgrup_5_location_gru_5,34.4,32.1,20.3,20.5
60,vggblstmp_1_location_lstm_1,41.1,37,22.4,21.6
61,vggblstmp_1_location_gru_1,40.4,38.1,21.8,21.9
