1,vggbgrup_5_dot_lstm_5,41,34.6,30.8,22.9
2,vggbgrup_5_add_lstm_5,35.9,33.2,30.4,20.8
3,vggbgrup_5_location_lstm_5,35,32.2,40.9,21.3
4,vggbgrup_5_coverage_lstm_5,35,32.8,21.1,21.7
5,vggbgrup_5_coverage_location_lstm_5,35.7,32.6,20.7,20.7
6,vggbgrup_5_location2d_lstm_5,35,31.9,21,21.2
7,vggbgrup_5_location_recurrent_lstm_5,38.5,33,61,21.8
8,vggbgrup_5_multi_head_dot_lstm_5,35.9,0,25.2,0
9,vggbgrup_5_multi_head_add_lstm_5,39.7,0,21.6,0
10,vggbgrup_5_multi_head_loc_lstm_5,0,0,31.3,0
11,vggbgrup_5_multi_head_multi_res_loc_lstm_5,0,0,21.4,0
